2024-10-18 21:24:05,196 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-18 21:24:05,197 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Configure stats pid to 22328
2024-10-18 21:24:05,197 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Loading settings from C:\Users\31614\.config\wandb\settings
2024-10-18 21:24:05,197 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Loading settings from C:\Users\31614\Documents\AI_course_stuff\RLForaging Thesis\RLForagingAgents\RL-models\TD3\wandb\settings
2024-10-18 21:24:05,197 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'Pendulum-TD3', 'entity': 'senna-renting-radboud-university', 'root_dir': 'C:\\Users\\31614\\Documents\\AI_course_stuff\\RLForaging Thesis\\RLForagingAgents\\RL-models\\TD3', 'sweep_id': 'c0nikwjw', 'run_id': 'kcp7jf7l', 'sweep_param_path': 'C:\\Users\\31614\\Documents\\AI_course_stuff\\RLForaging Thesis\\RLForagingAgents\\RL-models\\TD3\\wandb\\sweep-c0nikwjw\\config-kcp7jf7l.yaml'}
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_init.py:_log_setup():532] Logging user logs to C:\Users\31614\Documents\AI_course_stuff\RLForaging Thesis\RLForagingAgents\RL-models\TD3\wandb\run-20241018_212405-kcp7jf7l\logs\debug.log
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_init.py:_log_setup():533] Logging internal logs to C:\Users\31614\Documents\AI_course_stuff\RLForaging Thesis\RLForagingAgents\RL-models\TD3\wandb\run-20241018_212405-kcp7jf7l\logs\debug-internal.log
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_init.py:_jupyter_setup():478] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002076A4266F0>
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():617] calling init triggers
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():624] wandb.init called with sweep_config: {'batch_size': 256, 'buffer_size': 50000, 'gamma': 0.15277342421710538, 'lr_actor': 0.004003766752500695, 'lr_critic': 0.0030688069201806746, 'max_length_episode': 200, 'noise_clip': 1.4947549936419924, 'num_episodes': 100, 'policy_interval': 2, 'sigma': 0.04098448140981614, 'sigma_explore': 0.4025818224269888, 'tau': 0.14142350499223832}
config: {}
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():667] starting backend
2024-10-18 21:24:05,202 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():671] sending inform_init request
2024-10-18 21:24:05,212 INFO    Thread-43 (_run_job):22328 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-10-18 21:24:05,213 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():684] backend started and connected
2024-10-18 21:24:05,232 INFO    Thread-43 (_run_job):22328 [wandb_run.py:_config_callback():1394] config_cb None None {'batch_size': 256, 'buffer_size': 50000, 'gamma': 0.15277342421710538, 'lr_actor': 0.004003766752500695, 'lr_critic': 0.0030688069201806746, 'max_length_episode': 200, 'noise_clip': 1.4947549936419924, 'num_episodes': 100, 'policy_interval': 2, 'sigma': 0.04098448140981614, 'sigma_explore': 0.4025818224269888, 'tau': 0.14142350499223832}
2024-10-18 21:24:05,233 INFO    Thread-43 (_run_job):22328 [wandb_run.py:_label_probe_notebook():1346] probe notebook
2024-10-18 21:24:05,233 INFO    Thread-43 (_run_job):22328 [wandb_run.py:_label_probe_notebook():1356] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-10-18 21:24:05,233 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():779] updated telemetry
2024-10-18 21:24:05,282 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-18 21:24:05,509 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():863] starting run threads in backend
2024-10-18 21:24:06,257 INFO    Thread-43 (_run_job):22328 [wandb_run.py:_console_start():2465] atexit reg
2024-10-18 21:24:06,257 INFO    Thread-43 (_run_job):22328 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-18 21:24:06,258 INFO    Thread-43 (_run_job):22328 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-18 21:24:06,258 INFO    Thread-43 (_run_job):22328 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-18 21:24:06,259 INFO    Thread-43 (_run_job):22328 [wandb_init.py:init():907] run started, returning control to user process
2024-10-18 22:15:20,450 WARNING MsgRouterThr:22328 [router.py:message_loop():77] message_loop has been closed
